term syriaca-headword.en	***Categories	***Source	***currently in use	New URI	idno URI	idno URI	idno	gloss.en	gloss.en	gloss.en	gloss.en	gloss.en	gloss.en	gloss.ln	gloss.ln	gloss.grc	note abstract	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	***[revisit]	***[NOTES]		
Ideology	category	category		ideology	http://id.loc.gov/authorities/subjects/sh85029623			ideology	ideologies																																																					
Idolatry		CBSC	idolatry	idolatry	http://lccn.loc.gov/sh85064171																					http://syriaca.org/keyword/ethics																							http://syriaca.org/keyword/religion	http://syriaca.org/keyword/ritual												
II CE		CBSC	II CE	ii-ce																																																			http://syriaca.org/keyword/time							
III CE		CBSC	III CE	iii-ce																																																			http://syriaca.org/keyword/time							
Ikhwan al-Safa (Brethern of Purity)		CBSC	Ikhwan al-Safa	ikhwan-al-safa-brethern-of-purity																													http://syriaca.org/keyword/institutions		http://syriaca.org/keyword/islam																											
Illness		CBSC	illness	illness	http://lccn.loc.gov/sh85038411																							http://syriaca.org/keyword/events																																		
Illustrations		CBSC	illustrations	illustrations	http://lccn.loc.gov/sh85064332															http://syriaca.org/keyword/art																																						http://syriaca.org/keyword/writing				
Images		CBSC	images	images	http://lccn.loc.gov/sh85064172															http://syriaca.org/keyword/art																					http://syriaca.org/keyword/liturgy			http://syriaca.org/keyword/objects					http://syriaca.org/keyword/religion													
Imago Dei		CBSC	Imago Dei	imago-dei																	http://syriaca.org/keyword/christianity											http://syriaca.org/keyword/ideology				http://syriaca.org/keyword/judaism																										
Incarnation		CBSC	Incarnation	incarnation	http://lccn.loc.gov/sh85064725																http://syriaca.org/keyword/christianity											http://syriaca.org/keyword/ideology																														
Incense		CBSC	incense	incense	http://lccn.loc.gov/sh85064733																																				http://syriaca.org/keyword/liturgy			http://syriaca.org/keyword/objects					http://syriaca.org/keyword/religion	http://syriaca.org/keyword/ritual												
Incest		CBSC	incest	incest	http://lccn.loc.gov/sh85064740																							http://syriaca.org/keyword/events																																		
Indian		CBSC	Indian	indian																							http://syriaca.org/keyword/ethnicity																																			
Inheritance		CBSC	inheritance	inheritance	http://lccn.loc.gov/sh85066373																							http://syriaca.org/keyword/events										http://syriaca.org/keyword/law																								
Ink		CBSC	ink	ink																																								http://syriaca.org/keyword/objects														http://syriaca.org/keyword/writing				
Inns		CBSC	inns	inns																																											http://syriaca.org/keyword/places															
Inscriptions		CBSC	inscriptions	inscriptions	http://lccn.loc.gov/sh85066566																																			http://syriaca.org/keyword/literature																		http://syriaca.org/keyword/writing				
Inscriptions [Arabic]		CBSC	inscriptions [Arabic]	inscriptions-arabic	http://lccn.loc.gov/sh85066574																																			http://syriaca.org/keyword/literature																		http://syriaca.org/keyword/writing				
Inscriptions [Armenian]		CBSC	inscriptions [Armenian]	inscriptions-armenian	http://lccn.loc.gov/sh85066576																																			http://syriaca.org/keyword/literature																		http://syriaca.org/keyword/writing				
Inscriptions [Chinese]		CBSC	inscriptions [Chinese]	inscriptions-chinese	http://lccn.loc.gov/sh85066583																																			http://syriaca.org/keyword/literature																		http://syriaca.org/keyword/writing				
Inscriptions [Greek]		CBSC	inscriptions [Greek]	inscriptions-greek	http://lccn.loc.gov/sh85066590																																			http://syriaca.org/keyword/literature																		http://syriaca.org/keyword/writing				
Inscriptions [Latin]		CBSC	inscriptions [Latin]	inscriptions-latin	http://lccn.loc.gov/sh85066606																																			http://syriaca.org/keyword/literature																		http://syriaca.org/keyword/writing				
Inscriptions [Persian]		CBSC	inscriptions [Persian]	inscriptions-persian	http://lccn.loc.gov/sh91000086																																			http://syriaca.org/keyword/literature																		http://syriaca.org/keyword/writing				
Inscriptions [Syriac]		CBSC	inscriptions [Syriac]	inscriptions-syriac	http://lccn.loc.gov/sh98007366																																			http://syriaca.org/keyword/literature																		http://syriaca.org/keyword/writing				
Inscriptions [Turkic]		CBSC	inscriptions [Turkic]	inscriptions-turkic	http://lccn.loc.gov/sh96004189																																			http://syriaca.org/keyword/literature																		http://syriaca.org/keyword/writing				
Institutions	category	category		institutions	http://id.loc.gov/authorities/subjects/sh85008810			organizations	social institutions	social organization	associations																																																			
Intertextuality	category	CBSC	intertextuality	intertextuality	http://lccn.loc.gov/sh88005212																																			http://syriaca.org/keyword/literature																						
Introduction		CBSC	introduction	introduction																																				http://syriaca.org/keyword/literature																						
Investiture		CBSC	investiture	investiture	http://lccn.loc.gov/sh85067704																																													http://syriaca.org/keyword/ritual			http://syriaca.org/keyword/speech-acts									
Iron workers		new		iron-workers				ironsmiths	iron smiths					fabri ferrarius																															http://syriaca.org/keyword/occupations																	
Islam	category	CBSC	Islam	islam	http://lccn.loc.gov/sh85068390																																												http://syriaca.org/keyword/religion													
Islamization		CBSC	Islamization	islamization																															http://syriaca.org/keyword/islam														http://syriaca.org/keyword/religion													
Italian translation		CBSC	Italian translation	italian-translation																																																				http://syriaca.org/keyword/translation						
IV CE		CBSC	IV CE	iv-ce																																																			http://syriaca.org/keyword/time							
IV-VII CE		CBSC	IV-VII CE	iv-vii-ce																																																			http://syriaca.org/keyword/time							
IX CE		CBSC	IX CE	ix-ce																																																			http://syriaca.org/keyword/time							
Jacobites		CBSC	Jacobites	jacobites	http://lccn.loc.gov/n84002368																																												http://syriaca.org/keyword/religion										x	Do we want to perpetuate this nomenclature or should this simply be a variant under "Syrian Orthodox Church"?		
Jewelers		new		jewelers				jewellers	jewelry makers	jewellry makers																																			http://syriaca.org/keyword/occupations																	
Jewish background		CBSC	Jewish background	jewish-background																																http://syriaca.org/keyword/judaism													http://syriaca.org/keyword/religion													
Jewish Christianity		CBSC	Jewish Christianity	jewish-christianity	http://lccn.loc.gov/sh85070266																http://syriaca.org/keyword/christianity															http://syriaca.org/keyword/judaism																										
Jewish-Christian relations		CBSC	Jewish-Christian relations	jewish-christian-relations																	http://syriaca.org/keyword/christianity															http://syriaca.org/keyword/judaism													http://syriaca.org/keyword/religion													
Jews		CBSC	Jews	jews	http://lccn.loc.gov/sh85070361 																						http://syriaca.org/keyword/ethnicity																																			
Judaism	category	CBSC	Judaism	judaism	http://lccn.loc.gov/sh85070835																																												http://syriaca.org/keyword/religion													
